key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
rayyan-52447664,A mathematical model of an epidemic process,1973,,,Abstracts of Hospital Management Studies,,9,4,09053-85p.,"Horwitz, J. S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0347022921&partnerID=40&md5=bbea18461b22d08490774296d4220c39,English,,,"This thesis relates mathematical theory of epidemics and epidemiological characteristics of rubella in a mathematical model. The model is intended to describe how the population is behaving currently and how it will behave in the future and the effect of alternative programs of control. Population used for the study included the entire East North Central section of the U.S. beginning in 1966. Basis for rubella data used in the study is the Center for Disease Control in Atlanta, Georgia. Two deterministic, discrete time interval simulation models for rubella are presented. The first model considers population to be unstructured, and mixing within the total population is homogeneous. The model is then simulated using a set of initial conditions and results are compared to observed occurrences in the real population under study. Initial conditions are then varied to test sensitivity of the model to these variations. Alternative vaccination programs are incorporated to see the effect they have on continuing of the rubella process. Data indicated only 25% of susceptible population need be vaccinated to completely wipe out rubella infection from the population. The second model is an age stratified epidemic model in which homogeneous mixing among individuals is not a necessary condition. Population is divided into seven age groups, each with a different proportion of immunes, death rates, and different rates of contact between groups. It is concluded that the second model provides a more realistic description of the population than the first. Testing of the model with a smaller population is recommended."," RAYYAN-INCLUSION: {""James""=>""Included""}",,
rayyan-52447734,Measles immunization two-doses policy experience,2005,,,Journal of the Bahrain Medical Society,10156321 (ISSN),17,3,137-142,"Al Musawi, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-27344451989&partnerID=40&md5=2cbe88749ca44d5c227f62ab8b5339e3,English,,,"Background: Measles vaccine was first used in the Kingdom of Bahrain in 1974 for 9-month-old infants. In 1985, a second dose of measles vaccine combined with Mumps and Rubella (MMR) at the age of 15 months was added and the two-dose policy was adopted, the first dose given at 9 months and the second dose at 15 months (MMR). In 1998 the two dose-schedule was evaluated and a new policy was adopted, the 1st dose MMR at 12 months of age and the 2nd dose MMR at 5 years of age. Objectives: To review the process of developing an immunization strategy for measles in the Kingdom of Bahrain and to examine the impact of two doses of measles immunization policy on measles disease incidence in the Kingdom of Bahrain. Methods: A descriptive study that analyses the data available at the Immunization Unit in the Public Health at the Ministry of Health was undertaken to reduce the incidence rate and eliminate measles in the Kingdom of Bahrain. Results: Measles vaccination one-dose coverage for infants increased from 45 percent in 1980 to more than 87 per cent in 1990 and reached 98 percent by 2000 and 100 percent in 2003. Coverage for a second dose of measles vaccine given as MMR was 82% per cent in 1985 and reached 99.5% in 2003. Since 1993 the first and second dose coverage has been maintained above 90 percent. The adoption of 2nd dose policy together with the high coverage attained leads to the drop in the measles disease incidence rate from 838/100,000 population in 1970 to 1.7/100.000 population in 2003."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Not a model",,
rayyan-52447958,Modelling a Supplementary Vaccination Program of Rubella Using the 2012(-)2013 Epidemic Data in Japan,Apr,25,,Int J Environ Res Public Health,1660-4601,16,8,,"Kayano, T. and Lee, H. and Nishiura, H.",,eng,,,"From 2012-2013, Japan experienced a major epidemic of rubella, involving a total of 12,614 rubella cases and 45 confirmed cases of congenital rubella syndrome (CRS). One of the contributory factors in this outbreak may have been that the majority of adult males remained unvaccinated. To plan for a supplementary immunization program (SIP) to elevate the herd immunity level, it is critical to determine the required amount of vaccine and identify the target age groups among males for the SIP. The present study aimed to answer these policy questions, employing a mathematical model and analyzing epidemiological datasets from 2012-2013. Our model allowed us to reconstruct the age- and sex-dependent transmission patterns, and the effective reproduction number during the exponential growth phase in 2013 was estimated to be 1.5. The computed next-generation matrix indicated that vaccinating adult males aged from 20-49 years in 2013, using at least 17 million doses, was considered essential to prevent a major epidemic in the future. The proposed model also indicated that, even with smaller doses of vaccine, the SIP in adult males could lead to a substantial reduction in the incidence of rubella, as well as CRS. Importantly, the present study endorses a substantial background risk of observing another major epidemic from 2018-2019, in which cases may be dominated by adult males aged from 25-54 years, that is, our identified age groups plus a five-year time lag from 2013 to 2018."," RAYYAN-INCLUSION: {""James""=>""Included""}",,
rayyan-52447989,Modelling rubella in Europe,Dec,,,Epidemiol Infect,0950-2688 (Print)     0950-2688,125,3,617-34,"Edmunds, W. J. and van de Heijden, O. G. and Eerola, M. and Gay, N. J.",,eng,,,"The prevention of congenital rubella syndrome (CRS), as a complication of rubella infection during pregnancy, is the main aim of rubella vaccination programmes. However, as vaccination of infants leads to an increase in the average age at which those who were not immunized become infected, certain rubella vaccination programmes can lead to an increase in the incidence of CRS. In this paper we use a mathematical model of the transmission dynamics of rubella virus to investigate the likely impact of different vaccination policies in Europe. The model was able to capture pre- and post-vaccination patterns of infection and prevalence of serological markers under a wide variety of scenarios, suggesting that the model structure and parameter estimates were appropriate. Analytical and numerical results suggest that endemic circulation of rubella is unlikely in Finland, the United Kingdom, The Netherlands, and perhaps Denmark, provided vaccine coverage is uniform across geographical and social groups. In Italy and Germany vaccine coverage in infancy has not been sufficient to interrupt rubella transmission, and continued epidemics of CRS seem probable. It seems unlikely that the immunization programmes in these countries are doing more harm than good, but this may be partly as a result of selective immunization of schoolgirls. Indeed, in both these countries, selective vaccination of schoolgirls with inadequate vaccination histories is likely to be an important mechanism by which CRS incidence is suppressed (unlike the other countries, which have had sufficiently high infant coverage rates to withdraw this option). Reducing inequalities in the uptake of rubella vaccine may bring greater health benefits than increasing the mean level of coverage."," RAYYAN-INCLUSION: {""James""=>""Included""}",,
rayyan-52448040,Modelling the Transmission Dynamics and Control of Mumps in Mainland China,Dec,26,,Int J Environ Res Public Health,1660-4601,15,1,,"Li, Y. and Liu, X. and Wang, L.",,eng,,,"Mumps is a common childhood viral disease and children have been vaccinated throughout the world since 1967. The incidence of mumps has increased with more than 300,000 young people infected with mumps annually in mainland China since 2005. Therefore, we designed and analyzed long-term mumps surveillance data in an SVEILR (susceptible-vaccinated-exposed-severely infectious-mildly infectious-recovered) dynamic transmission model with optimized parameter values to describe the dynamics of mumps infections in China. There were 18.02% of mumps infected young adults seeking medical advice. The vaccine coverage has been insufficient in China. Young adults with frequent contact and mild infection were identified as a major driver of mumps epidemics. The reproduction number of mumps was determined 4.28 in China. Sensitivity analysis of the basic reproduction number and the endemic equilibrium was conducted to evaluate the effectiveness of mumps control measures. We propose to increase the vaccine coverage and make two doses of MMR (Measles, mumps and rubella) vaccines freely available in China."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Title out of scope,Not an outbreak intervention assessment",,
rayyan-52448045,Modelling transmission dynamics of childhood diseases in the presence of a preventive vaccine: Application of adomian decomposition technique,2008,,,"Mathematical Modeling, Simulation, Visualization and E-Learning",978-3-540-74338-5,,,63-74,"Makinde, O. D. and Konate, D.",<Go to ISI>://WOS:000253372100005     %[2019-01-15,,,,"In recent time, diligent vaccination campaigns have resulted in high levels of permanent immunity against the childhood disease among the population, e.g. measles, mumps, rubella, poliomyelitis, etc. In this paper, a SIR model that monitors the temporal dynamics of a childhood disease in the presence of a preventive vaccine is developed. The qualitative analysis reveals the vaccination reproductive number for disease control and eradication. Adomian decomposition method is also employed to compute an approximation to the solution of the non-linear system of differential equations governing the problem. Graphical results are presented and discussed quantitatively to illustrate the solution."," RAYYAN-INCLUSION: {""James""=>""Included""}",,
rayyan-52448048,Modelling vaccination strategy against directly transmitted diseases using a series of pulses,1998,,,Journal of Biological Systems,02183390 (ISSN),6,2,187-212,"Yang, H. M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000975961&doi=10.1142%2fS0218339098000145&partnerID=40&md5=e6ba456c032c3e1496581a57c0a793b1,English,,,"When a SIR model with a constant contact rate is used to describe the dynamics of directly transmitted infections, oscillations, which decay exponentially as time goes on, are obtained. By using this kind of model, we obtained the natural- and inter-epidemics periods of the disease. These two quantities are quasi-periods, since we are considering damped oscillations. The above two periods were estimated from rubella seroprevalence data from a small Brazilian community and, based on them, a vaccination strategy in a series of pulses was designed. The vaccination time lag between pulses is related to the natural-epidemics period, instead of the inter-epidemics period, multiplied by a fraction usually less than unity (the security factor). The results for different controlling scenarios showed that a series of pulses vaccination strategy can be a good option for developing countries."," RAYYAN-INCLUSION: {""James""=>""Included""}",,
rayyan-52448375,Options for improvement of the Dutch measles vaccination schedule,Jan,30,,Vaccine,0264-410X (Print)     0264-410x,21,7,721-4,"van den Hof, S. and Wallinga, J. and Widdowson, M. A. and Conyn-van Spaendonck, M. A.",,eng,,,"We investigated which vaccination schedule gives best protection to the vaccinating population, in case of a measles epidemic in pockets of unvaccinated individuals. We explored the effect of an additional measles vaccination (at 6 or 9 months), advancing the first measles-mumps-rubella (MMR) vaccination from 14 to 11 months, and advancing the second MMR from 9 to 4 years. Measures of protection among vaccinees (percentage of susceptibles, number of reported cases, percentage of lifetime spent susceptible) were estimated with a mathematical model of the impact of antibody level on seroconversion and immunity. Advancing the age of second MMR vaccination prevents considerably more cases among vaccinees than an extra early measles vaccination or advancing the age of first MMR vaccination."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-LABELS: Resolved by J",,
rayyan-52448479,"Persistence in Epidemic Metapopulations: Quantifying the Rescue Effects for Measles, Mumps, Rubella and Whooping Cough",Sep,,,Plos One,1932-6203,8,9,,"Metcalf, C. J. E. and Hampson, K. and Tatem, A. J. and Grenfell, B. T. and Bjornstad, O. N.",<Go to ISI>://WOS:000326405300190     %[2019-01-15,,,,"Metapopulation rescue effects are thought to be key to the persistence of many acute immunizing infections. Yet the enhancement of persistence through spatial coupling has not been previously quantified. Here we estimate the metapopulation rescue effects for four childhood infections using global WHO reported incidence data by comparing persistence on island countries vs all other countries, while controlling for key variables such as vaccine cover, birth rates and economic development. The relative risk of extinction on islands is significantly higher, and approximately double the risk of extinction in mainland countries. Furthermore, as may be expected, infections with longer infectious periods tend to have the strongest metapopulation rescue effects. Our results quantitate the notion that demography and local community size controls disease persistence."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Topic out of scope",,
rayyan-52448592,The practice of travel medicine: Guidelines by the infectious diseases society of America,2006,,,Clinical Infectious Diseases,10584838 (ISSN),43,12,1499-1539,"Hill, D. R. and Ericsson, C. D. and Pearson, R. D. and Keystone, J. S. and Freedman, D. O. and Kozarsky, P. E. and DuPont, H. L. and Bia, F. J. and Fischer, P. R. and Ryan, E. T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845484395&doi=10.1086%2f508782&partnerID=40&md5=c8fbafc04cc472d3021ffd9daaa10a12,English,,,"Travel medicine is devoted to the health of travelers who visit foreign countries. It is an interdisciplinary specialty concerned not only with prevention of infectious diseases during travel but also with the personal safety of travelers and the avoidance of environmental risks. The field has evolved as a distinct discipline over the last 2 decades. It is represented by an international society - the International Society of Travel Medicine (ISTM) - and by an active clinical group within the American Society of Tropical Medicine and Hygiene (ASTMH). Those who practice in the field come from a wide range of specialty training experiences; however, it is members of the infectious disease community who have frequently taken the lead in providing the evidence base for practice. Accompanying the growth of travel medicine has been a parallel effort in defining a body of knowledge and standards for its practice. These guidelines set forth the minimum standards for knowledge, experience, and practice in travel medicine and review the major content areas in the field. Travel medicine standards are increasingly based on evidence and are moving away from reliance on the opinion of experts. Where possible, recommendations in this document have been graded using the Infectious Diseases Society of America - United States Public Health Service grading system (table 1) [1]. As a young discipline, however, expert opinion and experience still dominate many of the topic areas, highlighting the need for continued investigation in the field. Setting. Most travel medicine care should be performed in a specialized travel clinic by persons who have training in the field, particularly for travelers who have complex itineraries or special health needs (C-III). Primary care physicians and nonspecialists should be able to advise travelers who are in good health and visiting low-risk destinations with standard planned activities. Knowledge base. The knowledge base for the travel medicine provider includes epidemiology, transmission, and prevention of travel-associated infectious diseases; a complete understanding of vaccine indications and procedures; prevention and management of noninfectious travel-associated health risks; and recognition of major syndromes in returned travelers (e.g., fever, diarrhea, and rash) (A-III) (table 2). All providers should access Web-, text-, and journal-based resources. The US Centers for Disease Control and Prevention (CDC) provides authoritative advice on travel health (http://www.cdc.gov/ travel). Competency in travel medicine. Appropriate knowledge and aptitude for practicing travel medicine may be demonstrated by achieving a certificate of knowledge in the field (table 2). Maintaining competency includes ongoing education and performing pretravel consultations on a frequent and regular basis (B-III). Pretravel risk assessment. The key element of the pretravel visit is a health risk assessment of the trip (A-II) (table 3). This balances the health of the traveler (the traveler's age, underlying health conditions, medications, and immunization history) with the details of the planned trip (the season of travel, itinerary, duration, and planned activities). Spectrum of travel medicine advice. Topics of health education and advice that should be covered for all travelers include vaccine-preventable illness, avoidance of insects, malaria chemoprophylaxis (for itineraries that include a malaria risk), prevention and self-treatment of traveler's diarrhea, responsible personal behavior, sexually transmitted infections and safety, travel medical insurance, and access to medical care during travel (A-II) (table 3). Other topics should be covered as indicated by the risk assessment. Consistent and clear advice that is provided in both verbal and written form will help to increase traveler compliance with preventive measures (A-II). The interaction between traveler and health care provider should be collaborative and affords the opportunity to enhance preventive health knowledge. Records and procedures. (1) Permanent ecords should be maintained for the pretravel visit, including records of traveler demographic data and health history, travel health risk assessment, and immunizations, recommendations, and prescriptions given (A-III) (table 4). (2) Standard procedures for immunization should be followed, including informed consent, vaccine storage, administration, record-keeping, and reporting of adverse events (A-III). Immunization. (I) The pretravel visit should be used to update vaccinations that are routinely recommended according to US schedules and based on the traveler's age and underlying health status (A-I) (table 5). These vaccinations include tetanus, pertussis, diphtheria, Haemophilus influenzae type b, measles, mumps, rubella, varicella, Streptococcus pneumoniae, and influenza vaccinations. Vaccination against hepatitis A and B, poliomyelitis, and Neisseria meningitidis may be recommended for travel, as well as for routine health care. (2) Vaccination against yellow fever is usually indicated for travelers to countries in the zone of endemicity for yellow fever (areas in Africa and South America where conditions are conducive to yellow fever transmission) (A-III). In addition, under International Health Regulations (IHRs), some countries that lie within or outside of the zone of endemicity may require yellow fever vaccination as a condition for entry. Recent recognition of serious adverse events associated with yellow fever vaccination requires that a careful risk-benefit assessment be performed before administration of the vaccine. (3) Hepatitis A vaccination should be considered for all travelers (A-III). Booster doses following the primary 2-dose series are not currently recommended (A-II). (4) Vaccination against Japanese encephalitis, rabies, tick-borne encephalitis, and typhoid fever should be administered on the basis of a risk assessment (A-III). Quadrivalent (A/C/ Y/W-135) meningococcal vaccine should be administered to travelers at risk. It is required by Saudi Arabia for religious pilgrims to Mecca for the Hajj or Umrah. Traveler's diarrhea. Traveler's diarrhea is the most common disease among travelers. Management of traveler's diarrhea includes education and advice about prevention, food and liquid hygiene (A-III), and provision for prompt self-treatment in the event of illness (A-I) (table 6). The elements of self-treatment include hydration; treatment with loperamide for control of symptoms, if necessary (when there is no temperature >38.5°C or gross blood in the stool); and a short course (single dose to 3 days of therapy) of a fluoroquinolone antibiotic (A-I). Antibiotic resistance of enteric pathogens, particularly Campylobacter species, in the destination country needs to be considered. For those travelling to these destinations, as well as for other travelers, azithromycin may be indicated (B-II). Combination treatment with loperamide and an antibiotic may be considered for travelers with moderately severe diarrhea (B-III). Antibiotic prophylaxis is not recommended for most travelers (A-III). Malaria. (I) Malaria is one of the most severe infectious diseases among travelers (tables 7 and 8). Nearly all cases in travelers are preventable. Methods for prevention and best management of malaria include awareness of risk, avoidance of mosquito bites, compliance with chemoprophylaxis, and prompt diagnosis in the event of a febrile illness either during or on return from travel (A-I). When seeking medical care after return from travel, travelers should be instructed to inform their health provider of their travel history. (2) Travelers at risk for malaria should practice the following measures to prevent mosquito bites: wearing of protective clothing to cover exposed skin, application of repellents, and sleeping in areas protected by netting (preferably impregnated with a residual insecticide, such as permethrin) and screens (A-I). Currently, repellents that contain 20%-50% N, N diethylmetatoluamide (DEET) are considered to provide sufficient protection (B-II). (3) The choice of chemoprophylaxis should be mad following a careful assessment of malaria risk during the trip. In addition, whether the traveler has contraindications to a particular antimalarial should be considered. (4) The malaria risk assessment includes the itinerary, the species of malaria at the destination (and whether the most severe form of malaria, that due to Plasmodium falciparum, is present and whether it is resistant to chloroquine or other antimalarials), the season of travel, activities, duration, and access to medical care. Consultation with the latest resource information is necessary. Personal safety and environmental heath. (1) All travelers should be aware of personal safety during travel and exercise responsible behavior (A-III). Road and pedestrian safety, risk of blood-borne infections, avoidance of animal bites, awareness of the risk of assault, sexually transmitted infections, and moderation in alcohol use should be discussed. (2) Travelers should understand the effects that air, sea, and land travel, sun, altitude, and heat and cold may have on their health. To prevent deep venous thrombosis (DVT), long-haul travelers with journeys of 6-8 h and longer should avoid constrictive clothing around their waist and lower extremities, exercise their calf muscles, and maintain hydration (A-III). Travelers with increased risk factors for DVT may consider wearing below-the-knee support stockings (B-II) or receiving low molecular weight heparin (B-I). (3) Ascent to altitudes of 2500-3500 m (8200-11500 feet) is often associated with various forms of high altitude illness. Staged ascent is an effective way to decrease the risk of altitude illness. Travelers who need to ascend rapidly may take acetaxolamide for prevention (B-I). © 2006 by the Infectious Diseases Society of America. All rights reserved."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Not a model",,
rayyan-52448859,"Reconstructing the transmission dynamics of rubella in Japan, 2012-2013",2018,,,PLoS One,1932-6203,13,10,e0205889,"Saito, M. M. and Nishiura, H. and Higuchi, T.",,eng,,,"BACKGROUND: Japan experienced a nationwide rubella epidemic from 2012 to 2013, mostly in urban prefectures with large population sizes. The present study aimed to capture the spatiotemporal patterns of rubella using a parsimonious metapopulation epidemic model and examine the potential usefulness of spatial vaccination. METHODOLOGY/PRINCIPAL FINDINGS: A metapopulation epidemic model in discrete time and space was devised and applied to rubella notification data from 2012 to 2013. Employing a piecewise constant model for the linear growth rate in six different time periods, and using the particle Markov chain Monte Carlo method, the effective reproduction numbers were estimated at 1.37 (95% CrI: 1.12, 1.77) and 1.37 (95% CrI: 1.24, 1.48) in Tokyo and Osaka groups, respectively, during the growing phase of the epidemic in 2013. The rubella epidemic in 2012 involved substantial uncertainties in its parameter estimates and forecasts. We examined multiple scenarios of spatial vaccination with coverages of 1%, 3% and 5% for all of Japan to be distributed in different combinations of prefectures. Scenarios indicated that vaccinating the top six populous urban prefectures (i.e., Tokyo, Kanagawa, Osaka, Aichi, Saitama and Chiba) could potentially be more effective than random allocation. However, greater uncertainty was introduced by stochasticity and initial conditions such as the number of infectious individuals and the fraction of susceptibles. CONCLUSIONS: While the forecast in 2012 was accompanied by broad uncertainties, a narrower uncertainty bound of parameters and reliable forecast were achieved during the greater rubella epidemic in 2013. By better capturing the underlying epidemic dynamics, spatial vaccination could substantially outperform the random vaccination."," RAYYAN-INCLUSION: {""James""=>""Included""} | RAYYAN-LABELS: Attention X,J keeping decision",,
rayyan-52448935,"Resurgence risk for measles, mumps and rubella in France in 2018 and 2020",Jun,,,Euro Surveill,1025-496x,23,25,,"Beraud, G. and Abrams, S. and Beutels, P. and Dervaux, B. and Hens, N.",,eng,,,"BackgroundLarge measles and mumps outbreaks recently occurred throughout Europe and the United States. Aim: Our aim was to estimate and map the risk of resurgence for measles, mumps and rubella in France. Methods: We used a multi-cohort model combining seroprevalence information, vaccine coverage and social contact data. Results: The overall outbreak risk for France in 2018 was highest for mumps, remained significant for measles despite a recent measles outbreak and was low for rubella. Outbreak risks were heterogeneous between departments, as the effective reproduction numbers for 2018 ranged from 1.08 to 3.66. The seroprevalence, and therefore the risk of measles and rubella infection, differed significantly between males and females. There was a lower seroprevalence, and therefore a higher risk, for males. Infants of less than 1 year would be seriously affected in a future outbreak of measles, mumps or rubella, but the highest overall caseload contribution would come from teenagers and young adults (10-25 years old). Conclusions: The high risk for teenagers and young adults is of concern in view of their vulnerability to more severe measles, mumps and rubella disease and complications."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Not an outbreak intervention assessment",,
rayyan-52448999,Risk factors for undervaccination against measles in a large sample of preschool children from rural Bavaria,2004,,,Infection,03008126 (ISSN),32,3,127-133,"Zucs, A. P. and Crispin, A. and Eckl, E. and Weitkunat, R. and Schlipköter, U.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942566646&doi=10.1007%2fs15010-004-3122-0&partnerID=40&md5=e315418c37ccb1bfed06aedf121b5d2b,English,,,"Background: Due to insufficient vaccination rates, measles outbreaks still pose a threat to public health in Germany. The purpose of this study was to identify risk factors for undervaccination against measles. Patients and Methods: Datasets from two cross-sectional surveys were analyzed by logistic regression models. The surveys had been done prior to and after an intervention aiming to raise measles, mumps, and rubella vaccination rates among children entering primary school in five Bavarian counties. Subjects were 9,582 children aged 6 to 7 years and their parents. Results: Main independent predictors of non-immunization were doctors advising against vaccination (OR 84.8; 95% CI 19.9-360.4), doctors abstaining from advice (OR 6.3; 95% CI 4.8-8.4), and parental reservations due to alternative health beliefs (OR 27.9; 95% CI 17.6-44.1). Conclusion: Doctors advising against measles vaccination and doctors not giving any advice proved to be important risk factors for childhood undervaccination against measles. Future strategies to increase measles vaccination rates in Germany should focus more on family doctors."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Model not mechanistic,Not an outbreak intervention",,
rayyan-52449111,Seasonally forced disease dynamics explored as switching between attractors,Jan,,,Physica D,0167-2789,148,3,317-335,"Keeling, M. J. and Rohani, P. and Grenfell, B. T.",,,,,"Biological phenomena offer a rich diversity of problems that can be understood using mathematical techniques. Three key features common to many biological systems are temporal forcing, stochasticity and nonlinearity. Here, using simple disease models compared to data, we examine how these three factors interact to produce a range of complicated dynamics. The study of disease dynamics has been amongst the most theoretically developed areas of mathematical biology; simple models have been highly successful in explaining the dynamics of a wide variety of diseases. Models of childhood diseases incorporate seasonal variation in contact rates due to the increased mixing during school terms compared to school holidays. This 'binary' nature of the seasonal forcing results in dynamics that can be explained as switching between two nonlinear spiral sinks. Finally, we consider the stability of the attractors to understand the interaction between the deterministic dynamics and demographic and environmental stochasticity. Throughout attention is focused on the behaviour of measles, whooping cough and rubella. (C) 2001 Elsevier Science B.V. All rights reserved.     %[2019-01-15"," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Not an outbreak intervention assessment",,
rayyan-52449153,Seventy-five years of estimating the force of infection from current status data,Jun,,,Epidemiol Infect,0950-2688,138,6,802-12,"Hens, N. and Aerts, M. and Faes, C. and Shkedy, Z. and Lejeune, O. and Van Damme, P. and Beutels, P.",,eng,,,"The force of infection, describing the rate at which a susceptible person acquires an infection, is a key parameter in models estimating the infectious disease burden, and the effectiveness and cost-effectiveness of infectious disease prevention. Since Muench formulated the first catalytic model to estimate the force of infection from current status data in 1934, exactly 75 years ago, several authors addressed the estimation of this parameter by more advanced statistical methods, while applying these to seroprevalence and reported incidence/case notification data. In this paper we present an historical overview, discussing the relevance of Muench's work, and we explain the wide array of newer methods with illustrations on pre-vaccination serological survey data of two airborne infections: rubella and parvovirus B19. We also provide guidance on deciding which method(s) to apply to estimate the force of infection, given a particular set of data."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Report,Not a model",,
rayyan-52449233,SIRS epidemic model and simulations using different types of seasonal contact rate,2003,,,Systems Analysis Modelling Simulation,02329298 (ISSN),43,5,573-600,"Greenhalgh, D. and Moneim, I. A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-27144554272&doi=10.1080%2f023929021000008813&partnerID=40&md5=228ef5e07590958f0944fe3ad390a59b,English,,,"A SIRS epidemic model with general seasonal variation in the contact rate is analysed. This SIRS model has a unique disease free equilibrium (DFE) which is globally asymptotically stable when the basic reproductive number is less than or equal to one in value. Four childhood infectious diseases are studied (measles, chickenpox, mumps, and rubella), The computer simulation results show that non-trivial periodic solutions are possible depending on the type of the seasonally varying contact transmission rate. Different periodic solutions with different periods are obtained for different transmission forms. The range of endemic periodic solutions obtained also vary from one disease transmission functional form to another. Apart from measles with a sinusoidal varying contact rate these results are completely original."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Not an outbreak intervention assessment",,
rayyan-52449242,"Slow, latent, chronic or recurrent viral infections of the nervous system in man",1983,,,Bulletin of the World Health Organization,00429686 (ISSN),61,4,563-581,"Cathala, F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020590514&partnerID=40&md5=89826646fe6e3a4f2b322b8a078e653b,French,,,"Sigurdsson coined the term 'slow virus infection', which later seemed to apply to an exotic disease, kuru, discovered in new Guinea and present in epidemic proportions among a cannibal population. Since that discovery a great deal of research has been carried out in an attempt to identify the virus or viruses responsible for chronic diseases of man and animals. Only the neurological diseases of man are dealt with in this article, but the animal diseases, such as visnamaedi in sheep caused by an RNA retrovirus, and scrapie of sheep and goats, are good models for the study of the chronic neurological diseases of man. Scrapie, moreover, may be caused by the same 'unconventional' virus as the human diseases that resemble it and could be a source of infection for man. In the present state of research the diseases in question may be divided into two groups: those for which the viral origin has been demonstrated, and those for which a viral origin is still only a hypothesis. Each group can in turn be divided into two subgroups: the diseases caused by a conventional virus, and those caused by a communicable agent with unexpected properties, an as yet unknown molecular structure, and termed an 'unconventional' virus. The diseases caused by conventional viruses include subacute sclerosing leukoencephalitis, progressive multifocal leukoencephalopathy and the neurological forms of persistent or recurrent infection with the cytomegalovirus, the papovaviruses, and the rubella, chickenpox, zona, herpes and measles viruses. Rabies, lymphocytic choriomeningitis and the Vilyuisk encephalitis virus also deserve mention. The unconventional virus diseases are represented by kuru and Creutzfeldt-Jakob disease. The viral origin of diseases such as multiple sclerosis, amyotrophic lateral sclerosis, acute febrile polyneuritis, progressive epilepsiesm, chronic forms of encephalitis, and Parkinsonian syndrome has not been proved, but these conditions seem more likely to be caused by conventional viruses. As regards unconventional viruses, diseases such as Alzheimer's disease, some senile dementias, and Gerstmann-Straussler-Scheinker syndrome have been transmitted to animals, but this transmission still needs confirmation. Other diseases, such as the Parkinsonian dementia syndrome found on Guam, have never yet been transmitted."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Title out of scope",,
