"_0_Reviewer";"paper_title";"publication_year";"paper_doi";"publication_type";"author_affiliation_type";"country_studied";"country_studied_multiple";"country_studied_other";"author_in_country_studied";"disease";"objectives";"other_objective";"individual_representation";"individual_representation_othe";"space_representation";"model_structure";"model_structure_unclear_reason";"parametrization";"validation";"validation_other";"outbreak_type";"intervention_modelled";"intervention_modelled_other";"vax_modelled_with_non_vax";"is_vax_effective";"modelling_timing";"outcome_measured";"outcome_measured_other";"sensitivity_analysis";"data_used";"data_available";"simulation_code_available";"_index"
"xiaoxi";"Modeling the impact of behavior change on the spread of ebola";"2016";"10.1007/978-3-319-40413-4_2";"book_chapter";"academic_institutions";"LY";"";"";"no";"Ebola";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_guess_and_expert_opion values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"behavioural_change";"";"no";"";"prospective";"outbreak_duration_and_timing final_epidemic_size timing_of_peak";"";"yes";"yes";"yes";"no";"60"
"xiaoxi";"Vaccination against 2009 pandemic H1N1 in a population dynamical model of Vancouver, Canada: timing is everything";"2011";"https://doi.org/10.1186/1471-2458-11-932";"original_research";"academic_institutions government_institutions NGO";"CA";"";"";"yes";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"campaign_duration attack_rate case_fatality";"";"yes";"no";"";"no";"61"
"xiaoxi";"On the Regional Control of a Reaction–Diffusion System SIR";"2019";"https://doi.org/10.1007/s11538-019-00673-2";"original_research";"academic_institutions";"CG";"";"";"no";"Ebola";"assess_impact_future";"";"compartments";"";"yes";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"real_outbreak";"treatment vaccination";"";"yes";"the_outcomes_were_inconclusive";"prospective";"cases_averted";"";"no";"no";"";"no";"62"
"james";"Influence of asymptomatic infections for the effectiveness of facemasks during pandemic influenza";"2019";"10.3934/mbe.2019194";"original_research";"academic_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"face_masks";"";"no";"";"prospective";"final_epidemic_size outcome_other";"control reproduction number,";"yes";"no";"";"no";"63"
"xiaoxi";"Antiviral resistance and the control of pandemic influenza: The roles of stochasticity, evolution and model details";"2009";"https://doi.org/10.1016/j.jtbi.2008.09.021";"original_research";"academic_institutions";"US";"";"";"yes";"Influenza";"assess_impact_future";"";"compartments";"";"no";"stochastic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"antiviral_prophylaxis";"";"no";"";"prospective";"attack_rate";"";"no";"no";"";"no";"64"
"xiaoxi";"SCHOOL CLOSURE STRATEGIES FOR THE 2009 HONG KONG HINI INFLUENZA PANDEMIC";"2015";"10.1109/WSC.2015.7408551";"conference_proceeding";"academic_institutions";"HK";"";"";"yes";"Influenza";"assess_impact_future";"";"agents";"";"no";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"school_closure";"";"no";"";"retrospective";"outbreak_duration_and_timing final_epidemic_size timing_of_peak attack_rate";"";"yes";"no";"";"no";"65"
"xiaoxi";"Reducing the impact of the next influenza pandemic using householdbased public health interventions";"2009";"URL http://hdl.handle.net/10722/86703";"original_research";"academic_institutions";"HK";"";"";"yes";"Influenza";"assess_impact_future";"";"agents";"";"no";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"contact_tracing isolation quarantine";"";"no";"";"prospective";"attack_rate";"";"no";"no";"";"no";"66"
"xiaoxi";"Optimal control strategies for a two-group epidemic model with vaccination-resource constraints";"2019";"https://doi.org/10.1016/j.amc.2019.124956";"original_research";"academic_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"hypothetical_outbreak";"vaccination";"";"no";"";"prospective";"outbreak_duration_and_timing final_epidemic_size cost";"";"no";"no";"";"no";"67"
"xiaoxi";"Evaluating the effects of control interventions and estimating the inapparent infections for dengue outbreak in Hangzhou, China";"2019";"https://doi.org/10.1371/journal.pone.0220391";"original_research";"government_institutions";"CN";"";"";"yes";"Dengue";"assess_impact_past";"";"compartments";"";"yes";"deterministic";"";"values_from_literature values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"larvicides";"";"no";"";"retrospective";"cases_averted final_epidemic_size";"";"yes";"yes";"yes";"no";"68"
"james";"Media impact switching surface during an infectious disease outbreak";"2015";"https://doi.org/10.1038/srep07838";"original_research";"academic_institutions";"CN";"";"";"yes";"Influenza";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_fitted_to_ts";"compared_with_data";"";"real_outbreak";"media_campaign";"";"no";"";"retrospective";"timing_of_peak outcome_other";"Hospital notifications";"yes";"yes";"yes";"no";"69"
"xiaoxi";"A decision-tree to optimise control measures during the early stage of a foot-and-mouth disease epidemic";"2002";"https://doi.org/10.1016/S0167-5877(02)00053-3";"original_research";"academic_institutions government_institutions";"NL";"";"";"yes";"FMD";"assess_impact_future";"";"compartments";"";"yes";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"culling vaccination intervention_other";"stomping out, movement control";"yes";"no";"prospective";"final_epidemic_size cost outcome_other";"export losses";"no";"no";"";"no";"70"
"xiaoxi";"Mathematical analysis of a cholera infection model with vaccination strategy";"2019";"https://doi.org/10.1016/j.amc.2019.05.055";"original_research";"academic_institutions";"CN";"";"";"yes";"Cholera";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"vaccination";"";"no";"";"prospective";"intervention_coverage outbreak_duration_and_timing final_epidemic_size attack_rate";"";"yes";"no";"";"no";"71"
"xiaoxi";"Logistical constraints lead to an intermediate optimum in outbreak response vaccination";"2018";"https://doi.org/10.1371/journal.pcbi.1006161";"original_research";"academic_institutions";"none";"";"";"NA";"Cholera Ebola Influenza Measles";"assess_impact_future";"";"compartments";"";"no";"stochastic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"vaccination";"";"no";"";"prospective";"intervention_coverage";"";"no";"no";"";"no";"72"
"xiaoxi";"Modelling the transmission and control strategies of varicella among school children in Shenzhen, China";"2017";"https://doi.org/10.1371/journal.pone.0177514";"original_research";"academic_institutions government_institutions";"CN";"";"";"yes";"Varicella";"assess_impact_future";"";"compartments";"";"yes";"deterministic";"";"values_from_literature values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"cases_averted intervention_coverage final_epidemic_size outcome_other";"peak size";"no";"yes";"yes";"no";"73"
"james";"A Multi-Agent Model for Adaptive Vaccination during Infectious Disease Outbreaks";"2016";"10.1109/ICCTIDE.2016.7725354";"conference_proceeding";"academic_institutions government_institutions";"US";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"no";"stochastic";"";"values_from_literature values_from_guess_and_expert_opion values_fitted_to_ts";"compared_with_data";"";"real_outbreak";"vaccination";"";"no";"";"prospective";"hospitalizations case_fatality";"";"no";"yes";"yes";"no";"74"
"xiaoxi";"Evaluating strategies for control of tuberculosis in prisons and prevention of spillover into communities: An observational and modeling study from Brazil";"2019";"https://doi.org/10.1371/journal.pmed.1002737";"original_research";"academic_institutions";"BR";"";"";"yes";"Tuberculosis";"assess_impact_future";"";"compartments";"";"no";"stochastic";"";"values_from_literature values_fitted_to_ts";"compared_with_data";"";"real_outbreak";"intervention_other";"Prison: entry screening, exit screening, secondary IPT, passive diagnosis active diagnosis and combined above";"no";"";"prospective";"cases_averted";"";"yes";"yes";"yes";"no";"75"
"xiaoxi";"DYNAMIC MODEL OF INFLUENZA WITH AGE-STRUCTURED AND MEDIA COVERAGE";"2016";"NA";"original_research";"academic_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"hypothetical_outbreak";"media_campaign";"";"no";"";"prospective";"intervention_coverage";"";"no";"no";"";"no";"76"
"xiaoxi";"Simulation of foot-and-mouth disease spread within an integrated livestock system in Texas, USA";"2009";"https://doi.org/10.1016/j.prevetmed.2008.12.006";"original_research";"academic_institutions";"US";"";"";"yes";"FMD";"assess_impact_future";"";"agents";"";"yes";"deterministic";"";"values_fitted_to_ts";"model_not_validated";"";"hypothetical_outbreak";"intervention_other";"early detection";"no";"";"prospective";"lives_saved outbreak_duration_and_timing";"";"no";"no";"";"no";"77"
"xiaoxi";"Effect of control measures on the course of simulated foot and mouth disease epidemics that started on different farm types in various Dutch areas";"2002";"NA";"book_chapter";"academic_institutions";"NL";"";"";"yes";"FMD";"assess_impact_past";"";"agents";"";"yes";"stochastic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"culling vaccination";"";"yes";"the_outcomes_were_inconclusive";"prospective";"outbreak_duration_and_timing final_epidemic_size attack_rate";"";"no";"no";"";"no";"78"
"xiaoxi";"Simulating optimal vaccination times during cholera outbreaks";"2014";"https://doi.org/10.1142/S1793524514500144";"original_research";"academic_institutions";"none";"";"";"NA";"Cholera";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"hypothetical_outbreak";"vaccination";"";"no";"";"prospective";"final_epidemic_size";"";"no";"no";"";"no";"79"
"xiaoxi";"Optimizing Vaccine Allocation at Different Points in Time during an Epidemic";"2010";"https://doi.org/10.1371/journal.pone.0013767";"original_research";"academic_institutions government_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature";"compared_with_data";"";"hypothetical_outbreak";"vaccination";"";"no";"";"prospective";"attack_rate hospitalizations case_fatality";"";"yes";"no";"";"no";"80"
"xiaoxi";"An extended state-transition model for foot-and-mouth disease epidemics in France";"2000";"https://doi.org/10.1016/S0167-5877(00)00158-6";"original_research";"government_institutions";"FR";"";"";"yes";"FMD";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"real_outbreak";"vaccination intervention_other";"stamping-out and slaughter of contact herds";"yes";"no";"retrospective";"outbreak_duration_and_timing final_epidemic_size";"";"yes";"no";"";"no";"81"
"xiaoxi";"Campus quarantine (Fengxiao) for curbing emergent infectious diseases: Lessons from mitigating A/H1N1 in Xi'an, China";"2012";"https://doi.org/10.1016/j.jtbi.2011.10.035";"original_research";"academic_institutions NGO";"CN";"";"";"yes";"Influenza";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"school_closure";"";"no";"";"retrospective";"hospitalizations";"";"yes";"yes";"yes";"no";"82"
"xiaoxi";"Contact reductions from live poultry market closures limit the epidemic of human infections with H7N9 influenza";"2018";"https://doi.org/10.1016/j.jinf.2017.12.015";"original_research";"academic_institutions NGO";"CN";"";"";"yes";"Influenza";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"real_outbreak";"intervention_other";"close live poultry market";"no";"";"retrospective";"cases_averted outbreak_duration_and_timing final_epidemic_size";"";"no";"no";"";"no";"83"
"xiaoxi";"Multiregional Dynamic Vaccine Allocation During an Influenza Epidemic";"2013";"https://doi.org/10.1287/serv.2013.0046";"original_research";"academic_institutions";"US";"";"";"yes";"Influenza";"assess_impact_future";"";"agents";"";"no";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"real_outbreak";"vaccination";"";"no";"";"prospective";"cases_averted";"";"no";"yes";"yes";"no";"84"
"xiaoxi";"A Perspective on Multiple Waves of Influenza Pandemics";"2013";"https://doi.org/10.1371/journal.pone.0060343";"original_research";"academic_institutions";"US";"";"";"yes";"Influenza";"assess_impact_past";"";"agents";"";"no";"deterministic";"";"values_from_literature values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"travel_restriction vaccination";"";"no";"";"retrospective";"outbreak_duration_and_timing final_epidemic_size attack_rate";"";"no";"yes";"yes";"no";"85"
"xiaoxi";"Modeling the Influence of Environment and Intervention onCholera in Haiti";"2014";"https://doi.org/10.3390/math2030136";"original_research";"academic_institutions";"HT";"";"";"no";"Cholera";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"final_epidemic_size";"";"no";"yes";"yes";"no";"86"
"xiaoxi";"Community-Based Measures for Mitigating the 2009 H1N1 Pandemic in China";"2010";"https://doi.org/10.1371/journal.pone.0010911";"original_research";"academic_institutions";"CN";"";"";"yes";"Influenza";"assess_impact_past";"";"agents";"";"no";"deterministic";"";"values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"quarantine school_closure intervention_other";"hygiene precaution";"no";"";"retrospective";"timing_of_peak";"";"no";"yes";"yes";"no";"87"
"xiaoxi";"Modelling weekly vector control against Dengue in the Guangdong Province of China";"2016";"https://doi.org/10.1016/j.jtbi.2016.09.012";"original_research";"academic_institutions";"CN";"";"";"yes";"Dengue";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"hypothetical_outbreak";"larvicides";"";"no";"";"retrospective";"final_epidemic_size attack_rate";"";"yes";"yes";"yes";"no";"88"
"xiaoxi";"Modeling the Impact of Behavior Changes on the Spread of Pandemic Influenza";"2011";"https://doi.org/10.1007/978-1-4614-5474-8_4";"original_research";"academic_institutions government_institutions";"none";"";"";"NA";"Influenza";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"isolation school_closure vaccination";"";"no";"";"prospective";"intervention_coverage outbreak_duration_and_timing attack_rate case_fatality";"";"no";"no";"";"no";"89"
"xiaoxi";"An economic assessment of foot and mouth disease in Japan";"2017";"http://dx.doi.org/10.20506/rst.36.1.2622";"original_research";"government_institutions";"JP";"";"";"yes";"FMD";"assess_impact_future";"";"agents";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"hypothetical_outbreak";"culling vaccination intervention_other";"early detection";"yes";"no";"retrospective";"outbreak_duration_and_timing final_epidemic_size cost";"";"no";"no";"";"no";"90"
"xiaoxi";"Optimal control strategies for the spread of Ebola in West Africa";"2016";"NA";"preprint";"academic_institutions";"other";"";"West Africa";"no";"Ebola";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"education treatment intervention_other";"control the propagation, reduce the number of susceptible and infected and simultaneously increase recovered";"no";"";"prospective";"outcome_other";"S, I and R curve";"no";"no";"";"no";"91"
"xiaoxi";"Agent-based modeling of the spread of influenza-like illness in an emergency department: a simulation study";"2011";"10.1109/TITB.2011.2163414";"original_research";"academic_institutions government_institutions";"CA";"";"";"yes";"Influenza";"assess_impact_future";"";"agents";"";"yes";"stochastic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"face_masks pallative_care treatment";"";"no";"";"retrospective";"final_epidemic_size";"";"yes";"yes";"no";"no";"92"
"xiaoxi";"A model to evaluate mass vaccination against pneumococcus as a countermeasure against pandemic influenza";"2011";"https://doi.org/10.1016/j.vaccine.2011.04.034";"original_research";"academic_institutions";"GB";"";"";"yes";"Influenza";"assess_impact_future";"";"agents";"";"no";"deterministic";"";"values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"vaccination";"";"no";"";"prospective";"campaign_duration hospitalizations case_fatality";"";"yes";"yes";"yes";"no";"93"
"xiaoxi";"Metapopulation and Non-proportional Vaccination Models Overview";"2016";"https://doi.org/10.1007/978-3-319-34139-2_8";"conference_proceeding";"academic_institutions";"MX";"";"";"no";"Influenza";"assess_impact_future";"";"compartments";"";"yes";"deterministic";"";"values_from_literature";"model_not_validated";"";"hypothetical_outbreak";"distancing school_closure vaccination";"";"no";"";"prospective";"outbreak_duration_and_timing final_epidemic_size";"";"no";"yes";"yes";"no";"94"
"xiaoxi";"Evaluation of the benefit of emergency vaccination in a foot-and-mouth disease free country with low livestock density";"2014";"https://doi.org/10.1016/j.prevetmed.2013.10.015";"original_research";"academic_institutions government_institutions";"CH";"";"";"yes";"FMD";"assess_impact_future";"";"agents";"";"yes";"deterministic";"";"values_fitted_to_ts";"model_not_validated";"";"hypothetical_outbreak";"vaccination";"";"no";"";"prospective";"outbreak_duration_and_timing";"";"no";"no";"";"no";"95"
"xiaoxi";"Evaluating costs and health consequences of sick leave strategies against pandemic and seasonal influenza in Norway using a dynamic model";"2018";"http://dx.doi.org/10.1136/bmjopen-2018-027832";"original_research";"academic_institutions";"NO";"";"";"yes";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_fitted_to_ts";"model_not_validated";"";"hypothetical_outbreak";"intervention_other";"sick leave strategy";"no";"";"prospective";"cost";"";"no";"no";"";"no";"96"
"xiaoxi";"Assessing the use of antiviral treatment to control influenza";"2014";"http://dx.doi.or/0.101/0950268814002520";"original_research";"academic_institutions";"CA";"";"";"no";"Influenza";"assess_impact_future";"";"agents";"";"no";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"antiviral_prophylaxis vaccination";"";"yes";"the_outcomes_were_inconclusive";"prospective";"intervention_coverage attack_rate";"";"no";"no";"";"no";"97"
"elisha";"Mitigation strategies for pandemic influenza in the United States";"2006";"doi10.1073pnas.0601266103";"original_research";"academic_institutions government_institutions";"US";"";"";"yes";"Influenza";"assess_impact_future";"";"agents";"";"yes";"stochastic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"antiviral_prophylaxis distancing school_closure travel_restriction vaccination";"";"yes";"yes";"prospective";"attack_rate outcome_other";"Cumulative incidence";"yes";"yes";"yes";"no";"98"
"elisha";"Modeling targeted layered containment of an influenza pandemic in the United States";"2008";"www.pnas.orgcgidoi10.1073pnas.0706849105";"original_research";"academic_institutions NGO";"US";"";"";"yes";"Influenza";"assess_impact_future";"";"agents";"";"yes";"stochastic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"antiviral_prophylaxis quarantine distancing school_closure screening work_closure";"";"no";"";"prospective";"cases_averted attack_rate";"";"yes";"yes";"yes";"no";"99"
"xiaoxi";"Stochastic two-agent epidemic simulation models for a community of families";"1971";"https://doi.org/10.1093/oxfordjournals.aje.a121258";"original_research";"academic_institutions";"none";"";"";"NA";"Poliomyelitis";"assess_impact_future";"";"agents";"";"no";"stochastic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"school_closure vaccination";"";"no";"";"prospective";"intervention_coverage outbreak_duration_and_timing timing_of_peak";"";"no";"no";"";"no";"100"
"xiaoxi";"A theoretical single-parameter model for urbanisation to study infectious disease spread and interventions";"2019";"https://doi.org/10.1371/journal.pcbi.1006879";"original_research";"academic_institutions government_institutions";"multiple";"DK FR IS IT NL NO GB";"";"yes";"Influenza";"assess_impact_future";"";"compartments";"";"yes";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"travel_restriction vaccination";"";"no";"";"prospective";"final_epidemic_size";"";"yes";"no";"";"no";"101"
"xiaoxi";"Control strategies of avian influenza pandemic model with time delay";"2017";"https://doi.org/10.1142/S1793524517501042";"original_research";"academic_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"intervention_other";"disease control";"no";"";"prospective";"cases_averted";"";"no";"no";"";"no";"102"
"xiaoxi";"Vaccination against Foot-And-Mouth Disease: Do Initial Conditions Affect Its Benefit?";"2013";"https://doi.org/10.1371/journal.pone.0077616";"original_research";"academic_institutions";"GB";"";"";"yes";"FMD";"assess_impact_past";"";"agents";"";"yes";"deterministic";"";"values_from_literature";"model_not_validated";"";"hypothetical_outbreak";"vaccination";"";"no";"";"retrospective";"intervention_coverage";"";"yes";"yes";"yes";"no";"103"
"xiaoxi";"Assessing the effects of modeling the spectrum of clinical symptoms on the dynamics and control of Ebola";"2019";"https://doi.org/10.1016/j.jtbi.2019.01.013";"original_research";"academic_institutions";"LY";"";"";"no";"Ebola";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"contact_tracing PPE_other_1 quarantine safe_burial distancing intervention_other";"social mobilisation";"no";"";"prospective";"final_epidemic_size";"";"yes";"no";"";"no";"104"
"xiaoxi";"DYNAMIC SIMULATION OF A SEIQR-V EPIDEMIC MODEL BASED ON CELLULAR AUTOMATA";"2015";"10.3934/naco.2015.5.327";"original_research";"academic_institutions NGO";"MX";"";"";"no";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_guess_and_expert_opion";"compared_with_data";"";"hypothetical_outbreak";"quarantine vaccination";"";"yes";"the_outcomes_were_inconclusive";"prospective";"cases_averted final_epidemic_size";"";"no";"no";"";"no";"105"
"xiaoxi";"Modeling and stability analysis of epidemic expansion disease Ebola virus with implications prevention in population";"2019";"https://doi.org/10.1080/23312025.2019.1619219";"original_research";"academic_institutions";"other";"";"West Africa";"no";"Ebola";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"vaccination";"";"no";"";"prospective";"final_epidemic_size";"";"no";"no";"";"no";"106"
"xiaoxi";"A CHOLERA METAPOPULATION MODEL INTERLINKING MIGRATION WITH INTERVENTION STRATEGIES - A CASE STUDY OF ZIMBABWE (2008-2009)";"2019";"https://doi.org/10.1142/S0218339019500098";"original_research";"academic_institutions";"ZW";"";"";"no";"Cholera";"assess_impact_future";"";"compartments";"";"yes";"deterministic";"";"values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"cases_averted final_epidemic_size cost case_fatality";"";"no";"yes";"yes";"no";"107"
"xiaoxi";"Efficient mitigation strategies for epidemics in rural regions";"2010";"https://doi.org/10.1371/journal.pone.0011569";"original_research";"academic_institutions";"US";"";"";"yes";"Influenza";"assess_impact_past assess_impact_future";"";"compartments";"";"yes";"deterministic";"";"values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"cases_averted";"";"yes";"yes";"yes";"no";"108"
"xiaoxi";"DENGUE IN CAPE VERDE: VECTOR CONTROL AND VACCINATION";"2013";"10.1080/08898480.2013.831711";"original_research";"academic_institutions";"CV";"";"";"no";"Dengue";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"larvicides vaccination";"";"no";"";"prospective";"campaign_duration final_epidemic_size timing_of_peak";"";"no";"no";"";"no";"109"
"xiaoxi";"A deterministic resource scheduling model in epidemic control: A case study";"2011";"https://doi.org/10.1016/j.ejor.2011.07.009";"original_research";"academic_institutions";"GR";"";"";"yes";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature";"model_not_validated compared_with_data";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"final_epidemic_size";"";"yes";"no";"";"no";"110"
"xiaoxi";"Transmission Dynamics of an Influenza Model with Age of Infection and Antiviral Treatment";"2010";"10.1007/s10884-010-9178-x";"original_research";"academic_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"antiviral_prophylaxis";"";"no";"";"retrospective";"final_epidemic_size attack_rate";"";"no";"no";"";"no";"111"
"xiaoxi";"Modeling control strategies for concurrent epidemics of seasonal and pandemic H1N1 influenza";"2011";"10.3934/mbe.2011.8.141";"original_research";"academic_institutions";"US";"";"";"yes";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_fitted_to_ts";"model_not_validated";"";"hypothetical_outbreak";"distancing treatment";"";"no";"";"prospective";"final_epidemic_size cost";"";"no";"no";"";"no";"112"
"xiaoxi";"Optimal and Adaptive Control of an Epidemic Model of Influenza with Unknown Parameters";"2017";"NA";"original_research";"academic_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"vaccination";"";"no";"";"retrospective";"final_epidemic_size cost";"";"no";"no";"";"no";"113"
"xiaoxi";"Cholera in Haiti: Reproductive numbers and vaccination coverage estimates";"2013";"https://doi.org/10.1038/srep00997";"original_research";"academic_institutions government_institutions";"HT";"";"";"no";"Cholera";"assess_impact_future";"";"agents";"";"yes";"deterministic";"";"values_fitted_to_ts";"model_not_validated";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"intervention_coverage attack_rate";"";"yes";"yes";"yes";"no";"114"
"xiaoxi";"Cost-effectiveness of workplace closure and travel restriction for mitigating influenza outbreaks: a network-based simulation";"2013";"https://doi.org/10.1145/2535708.2535709";"conference_proceeding";"academic_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"agents";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"hypothetical_outbreak";"antiviral_prophylaxis distancing school_closure travel_restriction";"";"no";"";"prospective";"cost";"";"yes";"no";"";"no";"115"
"xiaoxi";"Economic Evaluation of Influenza Pandemic Mitigation Strategies in the United States Using a Stochastic Microsimulation Transmission Model";"2009";"10.1111/j.1524-4733.2008.00437.x";"original_research";"academic_institutions";"US";"";"";"yes";"Influenza";"assess_impact_future";"";"agents";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"hypothetical_outbreak";"antiviral_prophylaxis distancing vaccination";"";"yes";"no";"prospective";"outbreak_duration_and_timing cost";"";"yes";"no";"";"no";"116"
"xiaoxi";"Effect of a Hepatitis A Vaccination Campaign During a Hepatitis A Outbreak in Taiwan, 2015–2017: A Modeling Study";"2019";"https://doi.org/10.1093/cid/ciz471";"original_research";"academic_institutions";"TW";"";"";"yes";"Hepatitis_A";"assess_impact_past";"";"agents";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"cases_averted";"";"yes";"yes";"yes";"no";"117"
"xiaoxi";"Manipulation of contact network structure and the impact on foot-and-mouth disease transmission";"2018";"https://doi.org/10.1016/j.prevetmed.2018.05.006";"original_research";"academic_institutions government_institutions";"GB";"";"";"yes";"FMD";"assess_impact_future";"";"compartments";"";"yes";"stochastic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"real_outbreak";"intervention_other";"rewiring";"no";"";"retrospective";"final_epidemic_size";"";"no";"yes";"no";"no";"118"
"xiaoxi";"Simulated economic consequences of foot-and-mouth disease epidemics and their public control in France";"2000";"https://doi.org/10.1016/S0167-5877(00)00166-5";"original_research";"government_institutions";"FR";"";"";"yes";"FMD";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"intervention_other";"stamping out";"no";"";"prospective";"cost";"";"no";"no";"";"no";"119"
